Hari_ke,Tanggal,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Kumulatif,Jumlah_pasien_dalam_perawatan,Persentase_Pasien_dalam_Perawatan,Jumlah_Pasien_Sembuh,Persentase_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Persentase_Pasien_Meninggal,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Kasus_Sedang_Investigasi_Lapangan,Pembaruan_Terakhir,FID
1,2020-03-02T00:00:00.000Z,2,2,2,100,0,0,0,0,0,0,0,35,2020-04-10T15:39:22.000Z,1
2,2020-03-03T00:00:00.000Z,0,2,2,100,0,0,0,0,0,0,0,,,2
3,2020-03-04T00:00:00.000Z,0,2,2,100,0,0,0,0,0,0,0,,,3
4,2020-03-05T00:00:00.000Z,0,2,2,100,0,0,0,0,0,0,0,,,4
5,2020-03-06T00:00:00.000Z,2,4,4,100,0,0,0,0,0,0,2,,,5
6,2020-03-07T00:00:00.000Z,0,4,4,100,0,0,0,0,0,0,0,,,6
7,2020-03-08T00:00:00.000Z,2,6,6,100,0,0,0,0,0,0,2,,,7
8,2020-03-09T00:00:00.000Z,13,19,19,100,0,0,0,0,0,0,13,,,8
9,2020-03-10T00:00:00.000Z,8,27,25,92.59259259,2,7.407407407,0,0,2,0,6,,,9
10,2020-03-11T00:00:00.000Z,7,34,31,91.17647059,2,5.882352941,1,2.941176471,0,1,6,,,10
11,2020-03-12T00:00:00.000Z,0,34,31,91.17647059,2,5.882352941,1,2.941176471,0,0,0,,,11
12,2020-03-13T00:00:00.000Z,35,69,63,91.30434783,2,2.898550725,4,5.797101449,0,3,32,,,12
13,2020-03-14T00:00:00.000Z,27,96,83,86.45833333,8,8.333333333,5,5.208333333,6,1,20,,,13
14,2020-03-15T00:00:00.000Z,21,117,104,88.88888889,8,6.837606838,5,4.273504274,0,0,21,,,14
15,2020-03-16T00:00:00.000Z,17,134,121,90.29850746,8,5.970149254,5,3.731343284,0,0,17,,,15
16,2020-03-17T00:00:00.000Z,38,172,158,91.86046512,9,5.23255814,5,2.906976744,1,0,37,,,16
17,2020-03-18T00:00:00.000Z,55,227,197,86.78414097,11,4.845814978,19,8.370044053,2,14,39,,,17
18,2020-03-19T00:00:00.000Z,81,308,268,87.01298701,15,4.87012987,25,8.116883117,4,6,71,,,18
19,2020-03-20T00:00:00.000Z,61,369,320,86.72086721,17,4.60704607,32,8.672086721,2,7,52,,,19
20,2020-03-21T00:00:00.000Z,81,450,392,87.11111111,20,4.444444444,38,8.444444444,3,6,72,,,20
21,2020-03-22T00:00:00.000Z,64,514,437,85.01945525,29,5.642023346,48,9.338521401,9,10,45,,,21
22,2020-03-23T00:00:00.000Z,65,579,500,86.35578584,30,5.18134715,49,8.462867012,1,1,63,,,22
23,2020-03-24T00:00:00.000Z,106,685,600,87.59124088,30,4.379562044,55,8.02919708,0,6,100,,,23
24,2020-03-25T00:00:00.000Z,105,790,701,88.73417722,31,3.924050633,58,7.341772152,1,3,101,,,24
25,2020-03-26T00:00:00.000Z,103,893,780,87.34602464,35,3.9193729,78,8.734602464,4,20,79,,,25
26,2020-03-27T00:00:00.000Z,153,1046,913,87.28489484,46,4.397705545,87,8.317399618,11,9,133,,,26
27,2020-03-28T00:00:00.000Z,109,1155,994,86.06060606,59,5.108225108,102,8.831168831,13,15,81,,,27
28,2020-03-29T00:00:00.000Z,130,1285,1107,86.14785992,64,4.980544747,114,8.871595331,5,12,113,,,28
29,2020-03-30T00:00:00.000Z,129,1414,1217,86.0678925,75,5.304101839,122,8.628005658,11,8,110,,,29
30,2020-03-31T00:00:00.000Z,114,1528,1311,85.79842932,81,5.30104712,136,8.90052356,6,14,94,,,30
31,2020-04-01T00:00:00.000Z,149,1677,1417,84.49612403,103,6.141920095,157,9.361955874,22,21,106,,,31
32,2020-04-02T00:00:00.000Z,113,1790,1508,84.24581006,112,6.25698324,170,9.497206704,9,13,91,,,32
33,2020-04-03T00:00:00.000Z,196,1986,1671,84.13897281,134,6.747230614,181,9.113796576,22,11,163,,,33
34,2020-04-04T00:00:00.000Z,106,2092,1751,83.6998088,150,7.170172084,191,9.13001912,16,10,80,,,34
35,2020-04-05T00:00:00.000Z,181,2273,1911,84.07391113,164,7.215134184,198,8.710954685,14,7,160,,,35
36,2020-04-06T00:00:00.000Z,218,2491,2090,83.90204737,192,7.707747892,209,8.390204737,28,11,179,,,36
37,2020-04-07T00:00:00.000Z,247,2738,2313,84.47772096,204,7.450693937,221,8.071585099,12,12,223,,,37
38,2020-04-08T00:00:00.000Z,218,2956,2494,84.37077131,222,7.51014885,240,8.119079838,18,19,181,,,38
39,2020-04-09T00:00:00.000Z,337,3293,2761,83.84451868,252,7.652596417,280,8.502884907,30,40,267,,,39
40,2020-04-10T00:00:00.000Z,219,3512,2924,83.25740319,282,8.029612756,306,8.712984055,30,26,163,,,40
41,2020-04-11T00:00:00.000Z,330,3842,3229,84.04476835,286,7.444039563,327,8.511192087,4,21,305,,,41
42,2020-04-12T00:00:00.000Z,399,4241,3509,82.73991983,359,8.464984673,373,8.795095496,73,46,280,,,42
43,2020-04-13T00:00:00.000Z,,,,,,,,,,,,,,43
44,2020-04-14T00:00:00.000Z,,,,,,,,,,,,,,44
45,2020-04-15T00:00:00.000Z,,,,,,,,,,,,,,45
46,2020-04-16T00:00:00.000Z,,,,,,,,,,,,,,46
47,2020-04-17T00:00:00.000Z,,,,,,,,,,,,,,47
48,2020-04-18T00:00:00.000Z,,,,,,,,,,,,,,48
49,2020-04-19T00:00:00.000Z,,,,,,,,,,,,,,49
50,2020-04-20T00:00:00.000Z,,,,,,,,,,,,,,50
51,2020-04-21T00:00:00.000Z,,,,,,,,,,,,,,51
52,2020-04-22T00:00:00.000Z,,,,,,,,,,,,,,52
53,2020-04-23T00:00:00.000Z,,,,,,,,,,,,,,53
54,2020-04-24T00:00:00.000Z,,,,,,,,,,,,,,54
55,2020-04-25T00:00:00.000Z,,,,,,,,,,,,,,55
56,2020-04-26T00:00:00.000Z,,,,,,,,,,,,,,56
57,2020-04-27T00:00:00.000Z,,,,,,,,,,,,,,57
58,2020-04-28T00:00:00.000Z,,,,,,,,,,,,,,58
59,2020-04-29T00:00:00.000Z,,,,,,,,,,,,,,59
60,2020-04-30T00:00:00.000Z,,,,,,,,,,,,,,60
61,2020-05-01T00:00:00.000Z,,,,,,,,,,,,,,61
62,2020-05-02T00:00:00.000Z,,,,,,,,,,,,,,62
63,2020-05-03T00:00:00.000Z,,,,,,,,,,,,,,63
64,2020-05-04T00:00:00.000Z,,,,,,,,,,,,,,64
65,2020-05-05T00:00:00.000Z,,,,,,,,,,,,,,65
66,2020-05-06T00:00:00.000Z,,,,,,,,,,,,,,66
67,2020-05-07T00:00:00.000Z,,,,,,,,,,,,,,67
68,2020-05-08T00:00:00.000Z,,,,,,,,,,,,,,68
69,2020-05-09T00:00:00.000Z,,,,,,,,,,,,,,69
70,2020-05-10T00:00:00.000Z,,,,,,,,,,,,,,70
71,2020-05-11T00:00:00.000Z,,,,,,,,,,,,,,71
72,2020-05-12T00:00:00.000Z,,,,,,,,,,,,,,72
73,2020-05-13T00:00:00.000Z,,,,,,,,,,,,,,73
74,2020-05-14T00:00:00.000Z,,,,,,,,,,,,,,74
75,2020-05-15T00:00:00.000Z,,,,,,,,,,,,,,75
76,2020-05-16T00:00:00.000Z,,,,,,,,,,,,,,76
77,2020-05-17T00:00:00.000Z,,,,,,,,,,,,,,77
78,2020-05-18T00:00:00.000Z,,,,,,,,,,,,,,78
79,2020-05-19T00:00:00.000Z,,,,,,,,,,,,,,79
80,2020-05-20T00:00:00.000Z,,,,,,,,,,,,,,80
81,2020-05-21T00:00:00.000Z,,,,,,,,,,,,,,81
82,2020-05-22T00:00:00.000Z,,,,,,,,,,,,,,82
83,2020-05-23T00:00:00.000Z,,,,,,,,,,,,,,83
84,2020-05-24T00:00:00.000Z,,,,,,,,,,,,,,84
85,2020-05-25T00:00:00.000Z,,,,,,,,,,,,,,85
86,2020-05-26T00:00:00.000Z,,,,,,,,,,,,,,86
87,2020-05-27T00:00:00.000Z,,,,,,,,,,,,,,87
88,2020-05-28T00:00:00.000Z,,,,,,,,,,,,,,88
89,2020-05-29T00:00:00.000Z,,,,,,,,,,,,,,89
